trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1080049833749168, 'e': 0.9900498337491681}",25,0,-149.40503034623958,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.10701986733067552, 'e': 0.9801986733067553}",25,0,-97.00484491344834,"{0: 13, 1: 6, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.10604455335485082, 'e': 0.9704455335485082}",20,0,-110.13999998583284,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.10507894391523231, 'e': 0.9607894391523232}",25,0,-91.28498402751524,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
5,False,"{'a': 0.1041229424500714, 'e': 0.951229424500714}",20,0,-79.23914360737669,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.10317645335842487, 'e': 0.9417645335842487}",30,0,-95.19969915482206,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.10223938199059483, 'e': 0.9323938199059483}",30,0,-233.40725290125255,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
8,False,"{'a': 0.10131163463866358, 'e': 0.9231163463866358}",20,0,-158.2622252137766,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.10039311852712282, 'e': 0.9139311852712282}",20,0,-69.91624651816556,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.09948374180359595, 'e': 0.9048374180359595}",25,20,10.286246753212264,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.09858341352965282, 'e': 0.8958341352965282}",35,0,-261.1736889751442,"{0: 17, 1: 6, 2: 5, 3: 4, 4: 3}",0
12,False,"{'a': 0.09769204367171574, 'e': 0.8869204367171575}",25,0,-123.40233123636392,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.09680954309205612, 'e': 0.8780954309205613}",25,0,-132.7866682801766,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
14,False,"{'a': 0.09593582353988059, 'e': 0.8693582353988059}",20,0,-81.69478082362191,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
