trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.42627332347992,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.71190247254913,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.73162579983442,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,3,-42.46239418297273,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.91027965554642,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.09104559029913,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.29146588023929,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,13,-96.997034316256,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.13323108086868,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.75430447568084,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.12247861110808,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.74881018940502,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.3378139086431,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.11393145352525,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.2197363812898,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.8941656815455,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,4,-42.623883589922066,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,7,-10.562911204405683,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.39067614664732,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.73659015168045,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.57984465643919,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.16083316549664,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.67016793145436,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.17281368780134,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-224.68577419228396,"{0: 13, 1: 4, 2: 10, 3: 0, 4: 3}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.62449387810875,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.59544419390554,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.20478617327788,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,12,1.5840991713866672,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-197.83846604082748,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
